track_name,artist_name,genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",0.784,0.646,-3.626,0.0491,0.0978,1.09e-06,0.592,127.942
Mi Bello Angel,Natanael Cano,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",0.811,0.771,-5.956,0.0461,0.00551,0.0,0.903,127.888
CORAZÓN VACÍO,Maria Becerra,['pop argentino'],0.681,0.792,-4.795,0.0587,0.334,2.05e-06,0.4,98.09
Hey Mor,Ozuna,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",0.901,0.589,-6.713,0.289,0.00302,0.000237,0.399,98.002
SABOR FRESA,Fuerza Regida,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",0.785,0.863,-4.599,0.0893,0.0883,0.0,0.962,130.132
un x100to,Grupo Frontera,['musica chihuahuense'],0.569,0.724,-4.076,0.0474,0.228,0.0,0.562,83.118
LADY GAGA,Peso Pluma,['sad sierreno'],0.646,0.736,-7.118,0.0449,0.216,0.0,0.873,140.098
Los del Espacio,LIT killah,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']",0.813,0.682,-3.598,0.0402,0.107,0.0,0.634,120.011
Podemos Repetirlo,Don Omar,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",0.858,0.691,-6.805,0.111,0.0289,0.0,0.792,167.915
Copa Vacía,Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",0.789,0.649,-5.765,0.0714,0.0409,3.64e-05,0.589,89.999
VAGABUNDO,Sebastian Yatra,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",0.817,0.851,-3.309,0.0627,0.0351,0.0,0.886,127.019
Yankee 150,Yandel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",0.72,0.821,-2.488,0.0681,0.0953,0.000167,0.628,167.998
Columbia,Quevedo,"['rap canario', 'trap latino', 'urbano latino']",0.668,0.712,-5.927,0.0381,0.369,2.13e-05,0.264,100.02
PASIEMPRE,Tainy,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",0.654,0.811,-4.18,0.106,0.0401,0.0,0.432,163.303
COCO LOCO,Maluma,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.783,0.868,-2.961,0.0591,0.19,0.0,0.727,109.977
TQG,KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.72,0.63,-3.547,0.277,0.673,0.0,0.607,179.974
8 AM,Nicki Nicole,"['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino', 'urbano latino']",0.678,0.44,-7.57,0.281,0.301,1.78e-06,0.314,94.033
PLEBADA,El Alfa,"['dembow', 'rap dominicano', 'reggaeton', 'trap latino', 'urbano latino']",0.847,0.988,-0.517,0.103,0.283,0.000942,0.699,115.057
Mas Rica Que Ayer,Anuel AA,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",0.818,0.666,-5.319,0.0759,0.343,0.0,0.529,93.95
69,Nicky Jam,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",0.785,0.617,-4.202,0.234,0.109,0.0,0.58,92.844
TQM,Fuerza Regida,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",0.786,0.853,-4.955,0.0589,0.273,0.0,0.963,125.107
AMARGURA,KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.92,0.696,-3.356,0.0742,0.183,0.0,0.545,106.966
El Merengue,Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",0.775,0.677,-4.703,0.0442,0.0313,0.00517,0.698,124.011
